visit_id,customer_id,store_id,visit_date,duration_minutes,purpose,items_viewed,purchased,satisfaction_score,accompanied_by,weather
V063,C045,S001,2023-03-07 15:30:00,46,쇼핑,7,Y,4.8,배우자,맑음
V064,C112,S003,2023-03-08 10:10:00,41,쇼핑,6,Y,4.6,혼자,맑음
V065,C023,S001,2023-03-09 14:00:00,47,쇼핑,7,Y,4.7,친구,비
V066,C078,S004,2023-03-10 12:40:00,35,쇼핑,5,Y,4.5,배우자,맑음
V067,C089,S002,2023-03-11 16:15:00,42,쇼핑,6,Y,4.6,혼자,맑음
V068,C145,S005,2023-03-12 11:00:00,29,쇼핑,3,Y,4.3,친구,흐림
V069,C056,S003,2023-03-13 15:10:00,36,쇼핑,5,Y,4.5,혼자,맑음
V070,C012,S001,2023-03-14 13:25:00,49,쇼핑,8,Y,4.8,배우자,맑음
V071,C098,S002,2023-03-15 10:45:00,43,쇼핑,6,Y,4.7,친구,비
V072,C091,S002,2023-03-16 14:30:00,38,쇼핑,5,Y,4.5,혼자,맑음
V073,C067,S003,2023-03-17 12:15:00,33,쇼핑,4,Y,4.4,배우자,맑음
V074,C134,S005,2023-03-18 16:40:00,27,쇼핑,3,Y,4.2,혼자,흐림
V075,C045,S001,2023-03-19 11:20:00,45,쇼핑,7,Y,4.7,친구,맑음
V076,C112,S003,2023-03-20 15:35:00,40,쇼핑,6,Y,4.6,배우자,맑음
V077,C023,S001,2023-03-21 10:50:00,48,쇼핑,8,Y,4.8,혼자,비
V078,C078,S004,2023-03-22 14:05:00,36,쇼핑,5,Y,4.4,친구,맑음
V079,C089,S002,2023-03-23 12:20:00,42,쇼핑,6,Y,4.6,배우자,맑음
V080,C145,S005,2023-03-24 16:45:00,28,쇼핑,3,Y,4.1,혼자,흐림
V081,C056,S003,2023-03-25 11:30:00,37,쇼핑,5,Y,4.5,친구,맑음
V082,C012,S001,2023-03-26 15:15:00,50,쇼핑,8,Y,4.9,배우자,맑음
V083,C098,S002,2023-03-27 13:00:00,44,쇼핑,7,Y,4.7,혼자,비
V084,C091,S002,2023-03-28 10:25:00,39,쇼핑,6,Y,4.5,친구,맑음
V085,C067,S003,2023-03-29 14:40:00,34,쇼핑,4,Y,4.4,배우자,맑음
V086,C134,S005,2023-03-30 12:10:00,26,쇼핑,3,Y,4.2,혼자,흐림
V087,C045,S001,2023-03-31 16:25:00,46,쇼핑,7,Y,4.7,친구,맑음
V088,C112,S003,2023-04-01 11:35:00,41,쇼핑,6,Y,4.6,배우자,맑음
V089,C023,S001,2023-04-02 15:50:00,47,쇼핑,7,Y,4.8,혼자,비
V090,C078,S004,2023-04-03 10:15:00,35,쇼핑,5,Y,4.4,친구,맑음
V091,C145,S005,2023-04-17 11:00:00,29,쇼핑,3,Y,4.2,혼자,맑음
V092,C067,S003,2023-05-02 15:30:00,34,쇼핑,4,Y,4.4,친구,맑음
V093,C089,S002,2023-05-15 12:20:00,42,쇼핑,6,Y,4.6,배우자,맑음
V094,C012,S001,2023-06-03 16:10:00,50,쇼핑,8,Y,4.9,혼자,맑음
V095,C134,S005,2023-06-22 10:45:00,27,쇼핑,3,Y,4.2,친구,흐림
V096,C056,S003,2023-07-08 14:25:00,37,쇼핑,5,Y,4.5,배우자,맑음
V097,C098,S002,2023-07-25 11:35:00,44,쇼핑,7,Y,4.7,혼자,맑음
V098,C023,S001,2023-08-12 15:20:00,48,쇼핑,8,Y,4.8,친구,비
V099,C091,S002,2023-08-28 12:40:00,39,쇼핑,6,Y,4.5,배우자,맑음
V100,C045,S001,2023-09-15 10:55:00,45,쇼핑,7,Y,4.7,혼자,맑음
V101,C112,S003,2023-09-28 14:30:00,40,쇼핑,6,Y,4.6,친구,흐림
V102,C078,S004,2023-10-12 11:15:00,36,쇼핑,5,Y,4.4,배우자,맑음
V103,C089,S002,2023-10-25 15:40:00,42,쇼핑,6,Y,4.6,혼자,맑음
V104,C145,S005,2023-11-08 13:00:00,28,쇼핑,3,Y,4.2,친구,비
V105,C056,S003,2023-11-22 10:25:00,37,쇼핑,5,Y,4.5,배우자,맑음
V106,C012,S001,2023-12-05 14:45:00,50,쇼핑,8,Y,4.9,혼자,맑음
V107,C098,S002,2023-12-18 12:10:00,44,쇼핑,7,Y,4.7,친구,흐림
V108,C091,S002,2024-01-06 15:35:00,39,쇼핑,6,Y,4.5,배우자,맑음
V109,C067,S003,2024-01-20 11:50:00,34,쇼핑,4,Y,4.4,혼자,맑음
V110,C134,S005,2024-02-03 16:20:00,27,쇼핑,3,Y,4.2,친구,비
V111,C045,S001,2024-02-17 10:40:00,46,쇼핑,7,Y,4.7,배우자,맑음
V112,C112,S003,2024-03-03 14:55:00,41,쇼핑,6,Y,4.6,혼자,맑음
V113,C023,S001,2024-03-17 12:15:00,48,쇼핑,8,Y,4.8,친구,흐림
V114,C078,S004,2024-03-24 16:30:00,36,쇼핑,5,Y,4.4,배우자,맑음
V115,C015,S002,2023-01-10 12:15:00,18,둘러보기,2,N,3.2,혼자,맑음
V116,C038,S003,2023-01-24 15:45:00,22,둘러보기,3,N,3.5,친구,흐림
V117,C072,S005,2023-02-08 13:20:00,20,둘러보기,3,N,3.6,혼자,맑음
V118,C105,S004,2023-02-22 11:50:00,15,둘러보기,2,N,3.0,배우자,비
V119,C128,S002,2023-03-11 16:10:00,24,둘러보기,4,N,3.8,친구,맑음
V120,C042,S001,2023-03-28 14:35:00,19,둘러보기,2,N,3.3,혼자,흐림
V121,C085,S003,2023-04-15 10:55:00,21,둘러보기,3,N,3.5,배우자,맑음
V122,C118,S005,2023-05-02 15:30:00,17,둘러보기,2,N,3.1,친구,비
V123,C063,S004,2023-05-20 12:40:00,23,둘러보기,4,N,3.7,혼자,맑음
V124,C096,S002,2023-06-08 14:20:00,20,둘러보기,3,N,3.4,배우자,흐림
V125,C031,S001,2023-06-25 11:15:00,18,둘러보기,2,N,3.2,친구,맑음
V126,C074,S005,2023-07-12 16:45:00,22,둘러보기,3,N,3.6,혼자,비
V127,C107,S003,2023-07-30 13:30:00,19,둘러보기,2,N,3.3,배우자,맑음
V128,C140,S002,2023-08-18 10:50:00,21,둘러보기,3,N,3.5,친구,흐림
V129,C054,S004,2023-09-05 15:20:00,16,둘러보기,2,N,3.1,혼자,맑음
V130,C087,S001,2023-09-22 12:35:00,24,둘러보기,4,N,3.8,배우자,비
